event,class,featureName,eventType
event,Process,laneSets,ADD
event,AdHocSubProcess,name,SET
event,AdHocSubProcess,flowElements,ADD
event,Association,sourceRef,SET
event,Association,targetRef,SET
event,BusinessRuleTask,name,SET
event,CallActivity,calledElementRef,SET
event,CallActivity,name,SET
event,DataInput,name,SET
event,DataObject,name,SET
event,DataOutput,name,SET
event,DataStore,name,SET
event,EndEvent,name,SET
event,EndEvent,eventDefinitions,ADD
event,EndEvent,incoming,ADD
event,EndEvent,outgoing,ADD
event,ExtensionAttributeValue,value,SET
event,InputOutputSpecification,dataInputs,ADD
event,InputOutputSpecification,dataOutputs,ADD
event,IntermediateCatchEvent,name,SET
event,IntermediateCatchEvent,eventDefinitions,ADD
event,IntermediateThrowEvent,name,SET
event,IntermediateThrowEvent,eventDefinitions,ADD
event,IntermediateThrowEvent,outgoing,ADD
event,Lane,flowNodeRefs,ADD
event,Lane,name,SET
event,Lane,extensionValues,ADD
event,Lane,partitionElement,SET
event,LaneSet,lanes,ADD
event,LaneSet,lanes,MOVE
event,LaneSet,name,SET
event,ManualTask,name,SET
event,Process,flowElements,ADD
event,Process,artifacts,ADD
event,ReceiveTask,name,SET
event,ScriptTask,name,SET
event,SendTask,name,SET
event,SendTask,outgoing,ADD
event,SendTask,incoming,ADD
event,SequenceFlow,sourceRef,SET
event,SequenceFlow,targetRef,SET
event,SequenceFlow,name,SET
event,ServiceTask,name,SET
event,ServiceTask,incoming,ADD
event,StartEvent,name,SET
event,StartEvent,outgoing,ADD
event,StartEvent,eventDefinitions,ADD
event,SubProcess,name,SET
event,SubProcess,flowElements,ADD
event,SubProcess,extensionValues,ADD
event,Task,name,SET
event,Task,incoming,ADD
event,Task,loopCharacteristics,SET
event,TextAnnotation,text,SET
event,UserTask,name,SET
event,ExclusiveGateway,incoming,ADD
event,ExclusiveGateway,outgoing,ADD
event,ParallelGateway,incoming,ADD
event,ParallelGateway,outgoing,ADD
event,ComplexGateway,incoming,ADD
event,ComplexGateway,outgoing,ADD
event,EventBasedGateway,incoming,ADD
event,EventBasedGateway,outgoing,ADD
event,Task,outgoing,ADD
event,ParallelGateway,name,SET
event ,SubProcess,boundaryEventRefs,ADD
event,SubProcess,outgoing,ADD
event,SubProcess,incoming,ADD
event,BoundaryEvent,attachedToRef,SET
event,BoundaryEvent,eventDefinitions,ADD
event,BoundaryEvent,incoming,ADD
event,BoundaryEvent,name,SET
event,Task,boundaryEventRefs,ADD
event,BoundaryEvent,outgoing,ADD
event,BusinessRuleTask,incoming,ADD
event,BusinessRuleTask,outgoing,ADD
event,DataStore,description,SET
event,EdgeStyleDescription,centerLabelStyleDescription,SET
event,ExclusiveGateway,name,SET
event,InclusiveGateway,incoming,ADD
event,InclusiveGateway,outgoing,ADD
event,IntermediateCatchEvent,incoming,ADD
event,IntermediateCatchEvent,outgoing,ADD
event,IntermediateThrowEvent,incoming,ADD
event,MultiInstanceLoopCharacteristics,isSequential,SET
event,SendTask,boundaryEventRefs,ADD
event,ServiceTask,boundaryEventRefs,ADD
event,ServiceTask,loopCharacteristics,SET
event,ServiceTask,outgoing,ADD
event,StartEvent,incoming,ADD
event,SubProcess,boundaryEventRefs,ADD
event,SubProcess,incoming,ADD
event,UserTask,boundaryEventRefs,ADD
event,UserTask,incoming,ADD
event,UserTask,outgoing,ADD
event,Process,name,SET
event,UserTask,loopCharacteristics,SET
